timestep,area,load,load_shedding,power_dumping
1,1,155.13035599999984,0.0,0.0
1,2,112.87777575000015,0.0,115.2611626075005
1,3,138.63301775000033,0.0,0.0
2,1,176.1110680059999,0.0,0.0
2,2,129.17332100317435,0.0,112.2848886659397
2,3,169.16655000795004,0.0,0.0
3,1,197.75111350774972,0.0,0.0
3,2,145.99333150022525,0.0,54.65565020787521
3,3,200.66660350829972,0.0,0.0
4,1,220.6066935599008,0.0,0.0
4,2,162.67077299389913,0.0,24.434985277098015
4,3,233.37718405995054,0.0,0.0
5,1,267.69168892729897,0.0,0.0
5,2,176.72827550817576,0.0,0.0
5,3,290.2521969292998,0.0,0.0
6,1,291.7503833939481,0.0,0.0
6,2,193.25092001249985,0.0,0.0
6,3,324.8808858913018,0.0,0.0
7,1,284.83386488795065,0.0,0.0
7,2,213.11610051590046,0.0,0.0
7,3,327.5118243860231,0.0,0.0
8,1,245.2468048508003,0.0,0.0
8,2,237.17913504882566,0.0,0.0
8,3,296.7748958654256,0.0,0.0
9,1,150.6270631837999,0.0,0.0
9,2,280.2116474467494,0.0,0.0
9,3,217.62501814832532,0.0,0.0
10,1,121.72686611572492,0.0,0.0
10,2,305.5107599345011,0.0,0.0
10,3,192.2593930930984,0.0,0.0
11,1,124.24338011517537,0.0,0.0
11,2,311.44483393455033,0.0,0.0
11,3,192.5431140909755,0.0,0.0
12,1,157.9981046760999,0.0,0.0
12,2,298.05896594839976,0.0,0.0
12,3,217.93974662307534,0.0,0.0
13,1,253.98589036572403,0.0,0.0
13,2,267.8414495421242,0.0,0.0
13,3,286.8248703959254,0.0,0.0
14,1,299.25664141620075,0.0,0.0
14,2,254.6043760070507,0.0,0.0
14,3,317.0684964301757,0.0,0.0
15,1,320.3855324222995,0.0,0.0
15,2,243.21943000150057,0.0,0.0
15,3,327.432564432626,0.0,0.0
16,1,319.1720754452262,0.0,0.0
16,2,232.2417014744239,0.0,0.0
16,3,318.6440119281508,0.0,0.0
17,1,300.9695235371503,0.0,0.0
17,2,210.4542430367507,0.0,0.0
17,3,284.8940095678007,0.0,0.0
18,1,298.85481249189843,0.0,0.0
18,2,200.52232954332476,0.0,0.0
18,3,276.48984953775226,0.0,0.0
19,1,293.9021449871744,0.0,0.0
19,2,202.99793854537504,0.0,0.0
19,3,278.68783603432337,0.0,0.0
20,1,284.86937347934975,0.0,0.0
20,2,218.40625956109986,0.0,0.0
20,3,290.58826852577346,0.0,0.0
21,1,268.1043825225997,0.0,0.0
21,2,255.6362984445989,0.0,0.0
21,3,310.46830198402415,0.0,0.0
22,1,259.3596925175502,0.0,0.0
22,2,272.60805896062544,0.0,0.0
22,3,323.12069000670016,0.0,0.0
23,1,255.6624285166257,0.0,0.0
23,2,278.53002946024856,0.0,0.0
23,3,337.5283120128248,0.0,0.0
24,1,256.7876350117236,0.0,0.0
24,2,273.32175144042577,0.0,0.0
24,3,355.26641605825034,0.0,0.0
25,1,261.5676454919747,0.0,0.0
25,2,246.2067695636755,0.0,0.0
25,3,396.20139893039993,0.0,0.0
26,1,262.9225860015755,0.0,0.0
26,2,241.52515355280073,0.0,0.0
26,3,414.2077414143747,0.0,0.0
27,1,265.0176185010743,0.0,0.0
27,2,251.46087505630044,0.0,0.0
27,3,406.80403391595166,0.0,0.0
28,1,267.7099949855002,0.0,0.0
28,2,276.86464760452503,0.0,0.0
28,3,374.37805594919996,0.0,0.0
29,1,264.2750125205991,0.0,0.0
29,2,341.1396983963755,0.0,0.0
29,3,326.590533536024,0.0,0.0
30,1,267.2228665290254,0.0,0.0
30,2,369.34313539772427,0.0,0.0
30,3,294.62081699077515,0.0,0.0
31,1,278.2532815335256,0.0,0.0
31,2,368.0017123959245,0.0,0.0
31,3,260.24063047932594,0.0,0.0
32,1,298.514158074875,0.0,0.0
32,2,336.6249293738765,0.0,0.0
32,3,220.3420213935006,0.0,0.0
33,1,347.2641689200747,0.0,0.0
33,2,259.8250341382256,0.0,0.0
33,3,137.19731715879985,0.0,0.0
34,1,368.780425414349,0.0,0.0
34,2,233.01430409015032,0.0,0.0
34,3,108.1294356247497,0.0,0.0
35,1,365.5092269122984,0.0,0.0
35,2,231.12799408882466,0.0,0.0
35,3,113.06861263017528,0.0,0.0
36,1,336.8802283941254,0.0,0.0
36,2,253.84211362244878,0.0,0.0
36,3,153.25630722027492,0.0,0.0
37,1,270.17280611464986,0.0,0.0
37,2,320.16470689127596,0.0,0.0
37,3,271.7917198376264,0.0,0.0
38,1,244.9817765748248,0.0,0.0
38,2,346.578234421274,0.0,0.0
38,3,328.92959139737314,0.0,0.0
39,1,240.51776457357548,0.0,0.0
39,2,350.239674925599,0.0,0.0
39,3,356.39822990482674,0.0,0.0
40,1,256.48659910025054,0.0,0.0
40,2,332.33373144530026,0.0,0.0
40,3,356.4420859359743,0.0,0.0
41,1,308.2766529075505,0.0,0.0
41,2,296.98121154312327,0.0,0.0
41,3,336.9820160407763,0.0,0.0
42,1,326.38289743152376,0.0,0.0
42,2,279.3191300038996,0.0,0.0
42,3,335.7697879832998,0.0,0.0
43,1,324.8844734335991,0.0,0.0
43,2,262.6216354974248,0.0,0.0
43,3,329.19198647652604,0.0,0.0
44,1,304.3284669331999,0.0,0.0
44,2,245.18878796409987,0.0,0.0
44,3,315.4464444570745,0.0,0.0
45,1,260.658487565349,0.0,0.0
45,2,212.92384855039958,0.0,0.0
45,3,285.38397504964917,0.0,0.0
46,1,241.4792820340996,0.0,0.0
46,2,197.23211705387442,0.0,0.0
46,3,272.5671725425741,0.0,0.0
47,1,231.8772160299255,0.0,0.0
47,2,196.8428675562252,0.0,0.0
47,3,271.67025454425,0.0,0.0
48,1,230.79253001537495,0.0,0.0
48,2,212.38391857942403,0.0,0.0
48,3,283.13365157022474,0.0,0.0
49,1,233.86005599329985,0.0,0.0
49,2,256.4889649267263,0.0,0.0
49,3,320.37116492949934,0.0,0.0
50,1,233.23007001219963,0.0,0.0
50,2,274.027963944225,0.0,0.0
50,3,332.6351579391498,0.0,0.0
51,1,236.43776101322476,0.0,0.0
51,2,275.82720844347426,0.0,0.0
51,3,327.3968234396749,0.0,0.0
52,1,243.74539300555006,0.0,0.0
52,2,261.6986209177015,0.0,0.0
52,3,304.7658714354738,0.0,0.0
53,1,252.35540949970022,0.0,0.0
53,2,217.33867009040014,0.0,0.0
53,3,259.4959010654255,0.0,0.0
54,1,259.9804725116509,0.0,0.0
54,2,205.0774005700745,0.0,0.0
54,3,238.48671403702502,0.0,0.0
55,1,270.7856500158491,0.0,0.0
55,2,212.56584706995002,0.0,0.0
55,3,227.9671910327244,0.0,0.0
56,1,285.8386990502248,0.0,0.0
56,2,239.70203758704938,0.0,0.0
56,3,226.8600140143012,0.0,0.0
57,1,320.52869094232494,0.0,0.0
57,2,297.1096349302253,0.0,0.0
57,3,229.27254399597453,0.0,0.0
58,1,335.98775693252463,0.0,0.0
58,2,327.7887729642245,0.0,0.0
58,3,228.73511601735078,0.0,0.0
59,1,331.696806931824,0.0,0.0
59,2,347.96831647137526,0.0,0.0
59,3,233.73538151709982,0.0,0.0
60,1,307.45578493342697,0.0,0.0
60,2,359.5883255193765,0.0,0.0
60,3,244.1979224928732,0.0,0.0
61,1,260.2008105655254,0.0,0.0
61,2,381.47576745979893,0.0,0.0
61,3,250.39295401857527,0.0,0.0
62,1,237.58159403217448,0.0,0.0
62,2,392.21493492265085,0.0,0.0
62,3,261.33337354192383,0.0,0.0
63,1,223.95699852767518,0.0,0.0
63,2,380.11131591877484,0.0,0.0
63,3,284.46148504649847,0.0,0.0
64,1,218.20227151222502,0.0,0.0
64,2,344.07249941069966,0.0,0.0
64,3,320.8549015712257,0.0,0.0
65,1,215.51979449564982,0.0,0.0
65,2,276.2775755961508,0.0,0.0
65,3,382.9074669375495,0.0,0.0
66,1,210.14983101190012,0.0,0.0
66,2,243.76876605540062,0.0,0.0
66,3,421.98659945340074,0.0,0.0
67,1,208.71501351069955,0.0,0.0
67,2,226.69948205089992,0.0,0.0
67,3,446.78097396280066,0.0,0.0
68,1,210.89990848104978,0.0,0.0
68,2,224.01518504444942,0.0,0.0
68,3,459.80373355332597,0.0,0.0
69,1,204.3924445314252,0.0,0.0
69,2,236.0602044629495,0.0,0.0
69,3,497.8211329098011,0.0,0.0
70,1,207.15302955122533,0.0,0.0
70,2,233.61729998782454,0.0,0.0
70,3,509.3294013481495,0.0,0.0
71,1,224.47376655762613,0.0,0.0
71,2,228.2396589875,0.0,0.0
71,3,476.3622148394501,0.0,0.0
72,1,257.90006110612535,0.0,0.0
72,2,219.8392154589498,0.0,0.0
72,3,396.3018307946254,0.0,0.0
73,1,330.56514790037556,0.0,0.0
73,2,195.28175705177503,0.0,0.0
73,3,240.6047897636495,0.0,0.0
74,1,368.2061534040999,0.0,0.0
74,2,188.0000470549989,0.0,0.0
74,3,180.05046464462475,0.0,0.0
75,1,377.93732290442574,0.0,0.0
75,2,196.25831505862467,0.0,0.0
75,3,159.02230513187502,0.0,0.0
76,1,359.8983849056007,0.0,0.0
76,2,220.93450959432488,0.0,0.0
76,3,174.67915062087542,0.0,0.0
77,1,309.3183960895001,0.0,0.0
77,2,279.96208291330106,0.0,0.0
77,3,229.65681191735015,0.0,0.0
78,1,292.41696554467467,0.0,0.0
78,2,308.01084292540014,0.0,0.0
78,3,250.0435560002754,0.0,0.0
79,1,287.6200315423513,0.0,0.0
79,2,314.72481692424975,0.0,0.0
79,3,271.15115851064957,0.0,0.0
80,1,294.3633445625249,0.0,0.0
80,2,299.83095190007515,0.0,0.0
80,3,295.70663654460105,0.0,0.0
81,1,323.90584793635014,0.0,0.0
81,2,248.7259981061249,0.0,0.0
81,3,338.01163744895115,0.0,0.0
82,1,331.0099539455004,0.0,0.0
82,2,235.6949080770501,0.0,0.0
82,3,363.4157864373011,0.0,0.0
83,1,323.1642034397005,0.0,0.0
83,2,244.1159425779005,0.0,0.0
83,3,370.10490243929934,0.0,0.0
84,1,298.76759586360015,0.0,0.0
84,2,274.132425114499,0.0,0.0
84,3,358.6192919735981,0.0,0.0
85,1,221.61276617135056,0.0,0.0
85,2,345.1725258992016,0.0,0.0
85,3,340.47674200842545,0.0,0.0
86,1,202.77770765707461,0.0,0.0
86,2,379.31363242362664,0.0,0.0
86,3,328.1491384697492,0.0,0.0
87,1,226.89236917360014,0.0,0.0
87,2,390.94010043064964,0.0,0.0
87,3,306.706170965124,0.0,0.0
88,1,297.714061358425,0.0,0.0
88,2,381.96456148660087,0.0,0.0
88,3,274.8780024507504,0.0,0.0
89,1,500.529596196027,0.0,0.0
89,2,372.3894804865496,0.0,0.0
89,3,224.82306505804922,0.0,0.0
90,1,595.634905695175,0.0,0.0
90,2,361.86898243804865,0.0,0.0
90,3,195.53381753919984,0.0,0.0
91,1,600.2231527051503,0.0,0.0
91,2,332.523065936351,0.0,0.0
91,3,177.33683503642524,0.0,0.0
92,1,517.0496958217503,0.0,0.0
92,2,283.75981346192594,0.0,0.0
92,3,169.61229802697497,0.0,0.0
93,1,378.3772906571261,0.0,0.0
93,2,223.004841034925,0.0,0.0
93,3,170.4873089789243,0.0,0.0
94,1,302.9338070213254,0.0,0.0
94,2,176.0551780063247,0.0,0.0
94,3,162.7146054980999,0.0,0.0
95,1,230.6489395188256,0.0,0.0
95,2,129.7702320101756,0.0,0.0
95,3,154.49210200107524,0.0,0.0
96,1,160.5675531188994,0.0,0.0
96,2,84.92594157597514,0.0,7.5534115989061785
96,3,146.53472601344984,0.0,0.0
